Row,Month,Year,Age,Source,Blood_ppm,Censored,Liver_ppm,Bone_ppm,Blood_lead_level,Liver_lead_level,Bone_lead_level,Lead_level_code,X_ray_results,County_found,Outcome,Comments,Released
193,January,2012,adult,BLACKHAWK,NA,NA,26.3,NA,NA,C,NA,C,N,Bremer,Died,NA,NotR
194,January,2012,adult,SOAR,0.153,0,NA,NA,B,NA,NA,B,N,Dallas,EU,NA,NotR
195,January,2012,adult,SOAR,0.65,1,NA,NA,C,NA,NA,C,N,Dallas,R,NA,R
196,January,2012,juvenile,Macbride,0.025,0,NA,NA,B,NA,NA,B,NA,Delaware,R,NA,R
197,January,2012,adult,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linn,DOA,NA,NotR
198,January,2012,adult,Macbride,0.65,1,NA,NA,C,NA,NA,C,NA,Louisa,EU,NA,NotR
199,January,2012,adult,WCC,NA,NA,21.8,NA,NA,C,NA,C,NA,Polk,DOA,NA,NotR
200,January,2012,adult,SOAR,NA,NA,1,NA,NA,B,NA,B,N,Shelby,DOA,NA,NotR
201,February,2012,adult,SOAR,0.342,0,NA,NA,SC,NA,NA,SC,N,Adair,EU,NA,NotR
202,February,2012,juvenile,BLACKHAWK,0.14,0,NA,NA,B,NA,NA,B,NA,Black Hawk,R,NA,R
203,February,2012,adult,SOAR,0.65,1,NA,NA,C,NA,NA,C,N,Franklin,Died,**>0 .65 ppm in blood; 5.5 ppm lead in liver,NotR
204,February,2012,NA,Macbride,0.126,0,NA,NA,B,NA,NA,B,NA,Johson,EU,NA,NotR
205,February,2012,adult,Macbride,0.334,0,NA,NA,SC,NA,NA,SC,NA,Muscatine,EU,NA,NotR
206,February,2012,adult,WCC,0.084,0,NA,NA,B,NA,NA,B,NA,Union,R,NA,R
207,February,2012,adult,WCC,0.6,0,NA,NA,C,NA,NA,C,NA,Union,Died,NA,NotR
208,February,2012,adult,WCC,0.0094,0,NA,NA,B,NA,NA,B,NA,Union,Died,"** 9.4 ppb, which is 0.0094 ppm",NotR
209,February,2012,juvenile,Macbride,0.449,0,NA,NA,SC,NA,NA,SC,NA,NA,EU,NA,NotR
210,March,2012,juvenile,SOAR,0.11,0,NA,NA,B,NA,NA,B,N,Adair,DOA,NA,NotR
211,March,2012,adult,SOAR,NA,NA,NA,NA,NA,B,NA,B,N,Adair,DOA,"** No elevated lead in liver, tested Wildlife Health Center, Madison, Report says, ""Liver lead was not elevated"" so would consider background",NotR
212,March,2012,adult,SOAR,NA,NA,8.4,NA,NA,C,NA,C,N,Audubon,DOA,**>0.65 ppm in heart blood; 8.4 ppm in liver,NotR
213,March,2012,juvenile,BLACKHAWK,0.022,0,NA,NA,B,NA,NA,B,NA,Black Hawk,EU,NA,NotR
214,March,2012,adult,SOAR,NA,NA,14.3,NA,NA,C,NA,C,N,Boone,DOA,**> 0.65 ppm in heart blood; 14.3 ppm lead in liver,NotR
215,March,2012,adult,Macbride,0.167,0,NA,NA,B,NA,NA,B,NA,Dubuque,EU,NA,NotR
216,March,2012,adult,Macbride,0.65,1,NA,NA,C,NA,NA,C,NA,Dubuque,Died,NA,NotR
217,March,2012,NA,Macbride,0.063,0,NA,NA,B,NA,NA,B,NA,Linn,R,NA,R
218,March,2012,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linn,DOA,NA,NotR
